203.121.165.16#6#5#C&C#TH##15.0,100.0#2
41.224.253.236#3#2#Scanning Host#TN##34.0,9.0#11
121.40.187.101#3#2#Scanning Host#CN#Hangzhou#30.2936000824,120.161399841#11
222.161.4.147#3#2#Scanning Host;Malicious Host#CN#Changchun#43.8800010681,125.322799683#11;3
194.28.173.2#8#4#C&C#UA#Vinnitsa#49.23279953,28.4810009003#2
120.27.45.57#3#2#Scanning Host#CN#Hangzhou#30.2936000824,120.161399841#11
195.238.181.159#2#2#Scanning Host#UA#Ternopil#49.5559005737,25.6056003571#11
198.27.89.46#3#2#Scanning Host###49.5559005737,25.6056003571#11
71.6.216.191#2#2#Scanning Host#US#San Diego#32.8073005676,-117.132400513#11
222.186.31.135#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.31.136#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.56.83#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
222.186.56.85#2#2#Scanning Host#CN#Nanjing#32.0616989136,118.777801514#11
146.185.239.190#2#2#Scanning Host###32.0616989136,118.777801514#11
146.185.239.189#2#2#Scanning Host###32.0616989136,118.777801514#11
146.185.239.192#2#2#Scanning Host###32.0616989136,118.777801514#11
146.185.239.191#2#2#Scanning Host###32.0616989136,118.777801514#11
222.186.160.210#2#2#Scanning Host###32.0616989136,118.777801514#11
78.189.47.72#2#2#Scanning Host###32.0616989136,118.777801514#11
176.100.77.237#2#2#Scanning Host###32.0616989136,118.777801514#11
109.135.2.126#2#2#Scanning Host###32.0616989136,118.777801514#11
185.93.0.194#2#2#Scanning Host###32.0616989136,118.777801514#11
185.93.0.195#2#2#Scanning Host###32.0616989136,118.777801514#11
46.29.248.0#2#2#Scanning Host###32.0616989136,118.777801514#11
38.86.44.109#2#2#Scanning Host###32.0616989136,118.777801514#11
78.184.87.200#2#2#Scanning Host###32.0616989136,118.777801514#11
199.189.85.211#2#2#Scanning Host###32.0616989136,118.777801514#11
199.189.85.212#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.151#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.152#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.153#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.154#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.155#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.156#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.157#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.158#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.159#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.160#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.166#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.167#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.168#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.169#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.170#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.171#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.172#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.173#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.174#2#2#Scanning Host###32.0616989136,118.777801514#11
78.160.83.175#2#2#Scanning Host###32.0616989136,118.777801514#11
199.217.113.204#2#2#Scanning Host###32.0616989136,118.777801514#11
199.217.113.205#2#2#Scanning Host###32.0616989136,118.777801514#11
199.217.113.206#2#2#Scanning Host###32.0616989136,118.777801514#11
